Source,Destination,Start,End,Md5,UploadId,Source Size,Bytes Transferred,Result,Description
file://.\Core\Procesamiento\MdlDispositivos.php,gs://lectalocal/MD/Core/Procesamiento/MdlDispositivos.php,2020-11-23T15:50:36.945583Z,2020-11-23T15:50:37.539706Z,QEPJqbUbVlrs6Qy3UbnOZg==,,8329,8329,OK,
file://.\Core\Procesamiento\MdlNoticias.php,gs://lectalocal/MD/Core/Procesamiento/MdlNoticias.php,2020-11-23T15:50:37.002583Z,2020-11-23T15:50:37.539706Z,dZzNt1Cd6H8VKaGyxoiE0Q==,,3977,3977,OK,
file://.\Core\Procesamiento\MdlAgentes.php,gs://lectalocal/MD/Core/Procesamiento/MdlAgentes.php,2020-11-23T15:50:36.867202Z,2020-11-23T15:50:37.554712Z,WH0w7gjdYlyZZEiIqd4Nuw==,,16751,16751,OK,
file://.\Core\Procesamiento\MdlFuncionarios.php,gs://lectalocal/MD/Core/Procesamiento/MdlFuncionarios.php,2020-11-23T15:50:36.985584Z,2020-11-23T15:50:37.573706Z,BtNYJ4OD1R6PSQBHaWIGrg==,,7661,7661,OK,
file://.\Core\Procesamiento\MdlMonitoreo.php,gs://lectalocal/MD/Core/Procesamiento/MdlMonitoreo.php,2020-11-23T15:50:36.989583Z,2020-11-23T15:50:37.580708Z,6L6GFU/uKVs8x6M7GTlI5w==,,32025,32025,OK,
file://.\Core\Procesamiento\MldunidadNegocio.php,gs://lectalocal/MD/Core/Procesamiento/MldunidadNegocio.php,2020-11-23T15:50:37.122044Z,2020-11-23T15:50:37.667178Z,hGKbIFpTxBnQnbg6+1EHTw==,,4081,4081,OK,
file://.\Core\Procesamiento\MdlZonas.php,gs://lectalocal/MD/Core/Procesamiento/MdlZonas.php,2020-11-23T15:50:37.118305Z,2020-11-23T15:50:37.728145Z,dGQ28qPEqKyMTb9+WyVSFA==,,6129,6129,OK,
file://.\Core\Procesamiento\Excel\1600783747.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600783747.xlsx,2020-11-23T15:50:37.160042Z,2020-11-23T15:50:37.728145Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\Excel\1600783232.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600783232.xlsx,2020-11-23T15:50:37.145041Z,2020-11-23T15:50:37.745008Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\Excel\1600783720.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600783720.xlsx,2020-11-23T15:50:37.155041Z,2020-11-23T15:50:37.773974Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
